,OSPO Annual Survey  2022,,,,,,
 ,,,,,,,
Page or Section,Q#,R#,Questions and Responses,Show/Hide Rules and Logic,,Coding Notes,Q# in 2021
,,,,,,,
1,,,Introduction,,,,
,,,,,,,
1,Text,,"The TODO Group, together with Linux Foundation Research, LF Training and Certification, api7.ai, Futurewei, Ovio, Salesforce, VMware, and X-Labs, is conducting a survey as part of a research project on the prevalence and outcomes of open source programs and similar open source initiatives operating across the globe.

*This survey should take no more than 15 minutes of your time.*

As a thank you for participating in this research, once you have completed the survey, a code will be displayed on the confirmation page which can be used for a 25% discount on any Linux Foundation training course or certification exam listed in our catalog: https://training.linuxfoundation.org/full-catalog/.

Your responses are anonymous and will be used to compile a report to be released later this year. Only one response per organization will be included in the study results if you choose to provide that information. 

Your name and/or organization name will not be displayed. Reviews are attributed to your role, organization size, and industry. Responses will be subject to the Linux Foundation’s Privacy Policy, available at https://linuxfoundation.org/privacy. Please note that research partners who are not Linux Foundation employees will review the survey results. Survey partners are not permitted to use your data for other purposes.",,,,
,,,,,,,
2,,,"Tell a little bit about yourself,  your organization and open source",,,,
,,,,,,,
2,1,,Where is your organization on its open source journey? (select all that apply),"Q1 = C7 AND Q1 IN [C2, C3, C4, C5, C6] => INVALIDATE Q1
""You can't select ""Not involved in open source"" and another option.""",,"Custom DQ Text for this survey is: ""Thank you for participating. Unfortunately you do not meet our selection criteria to further advance in the survey, but we appreciate your time. ",1
,,1,Consuming open source code in products or services,,,,
,,2,Contributing to upstream open source projects,,,,
,,3,Influencing open source projects via leadership or maintainer roles,,,,
,,4,Initiating or releasing open source projects,,,,
,,5,Collaborating with peers across open source projects and/or foundations,,,,
,,6,Not involved in open source,DQ,,,
,,7,Don't know or not applicable,DQ,,,
,,,,,,,
2,2,,"How many people work for your organization? If you are employed by a software integrator or consulting firm, or self employed, answer on behalf of the most current client you are primarily working for. (select one)",,,,2
,,1,Under 10,,,,
,,2,11 to 49,,,,
,,3,50 to 249,,,,
,,4,250 to 999,,,,
,,5,"1,000 to 9,999",,,,
,,6,"10,000 to 19,999",,,,
,,7,"20,000 or more",,,,
,,8,"I am currently unemployed, a full-time student or retired",DQ,,,
,,,,,,,
2,3,,"Professionally, which role or field do you most closely identify with? (select one)",,,,49
,,1,Developer / Software Engineer,,,,
,,2,"Other IT (e.g., Sys Admin, Tech Support)",,,,
,,3,Community Manager / Developer Advocate,,,,
,,4,"IT Management (e.g. CIO, CISO, CTO)",,,,
,,5,Senior / Executive Management (non-IT),,,,
,,6,Marketing / PR,,,,
,,7,Other,,,,
,,,,,,,
2,4,,"How often does your organization do the following activities? (select one per row)
[Never, Rarely, Sometimes, Frequently, Don't know]",,,"Used to just require one row, now requiring all rows
DQ if Never for all seven responses.",3
,,1,Contribute code upstream,,,,
,,2,Use open source code for noncommercial or internal reasons,,,,
,,3,Use open source code in commercial products,,,,
,,4,Recruit and hire developers to work on open source projects,,,,
,,5,Train developers to contribute to open source projects,,,,
,,6,Create its own open source projects,,,,
,,7,Attend and speak at open source events or conferences,,,,
,,,,,,,
2,5,,"Does your organization have a formal policy governing use and contribution to open source projects in the following areas? (select one per row)
[Yes, No, Don't know]",,,,5
,,1,Use of open source code in products (dependencies),,,,
,,2,Allowing employees to contribute to non-work-related open source projects in their personal time,,,,
,,3,Releasing open source code or projects,,,,
,,4,Contributing upstream to open source projects,Show Q7,,,
,,5,"Sponsoring open source projects, events or foundations",,,,
,,6,Contributing to third-party and other projects not considered to be upstream,,,new in 2022,
,,,,,,,
3,,,Open source programs and initiatives,,,,
,,,,,,,
,Text,,"An open source program office (OSPO) or similar open source initiative is designed to be the center of competency for an organization's open source operations and structure. This can include setting code use, distribution, selection, auditing and other policies, as well as training developers, ensuring legal compliance and promoting and building community engagement that benefits the organization strategically.

To a certain degree, any organization calling itself an OSPO (or similar open source initiative) likely indicates that the organization has reached a maturity stage and critical mass, where OSPOs share key characteristics:
•+D3",,,,
,,,,,,,
3,6,,Does your organization have an open source program or open source initiative? (select one),,,,6
,,1,"Yes, and it is formally structured with dedicated person-hours, reporting structure and/or job titles","Hide Pages 8, 9, 10, 11, 12, 13",,the formal part of the question maps to 8.1 in 2021,
,,2,"Yes, and it is informally structured, part-time and/or virtual","Hide Pages 8, 9, 10, 11, 12, 13",,the informal part of the question maps to Q8.2 in 2021,
,,3,"No, but but we are planning one","Hide Pages 5. 6. 7, 9, 10, 11, 12, 13",,,
,,4,No,"Hide Pages 5. 6. 7, 8",,,
,,,,,,,
3,7,,Which of the following best describes your organization's formal policy on contributing to upstream open source projects? (select one),Show if 5.4,,,
,,1,Contributions are not permitted,,,,
,,2,Contribute if it is required by the open source license,,,,
,,3,Contribution is openly encouraged,,,,
,,4,Don’t know,,,,
,,,,,,,
,,,,,,,
4,,,Tell us about the open source program/initiative and its structure,"Hide if 6.3, 6.4",,Existing OSPOs,
,,,,,,,
4,8,,What are the primary responsibilities of the open source program or initiative? (select all that apply),,,,7
,,1,Advise on open source tech and projects,,,,
,,2,Collaborate with open source organizations,,,,
,,3,Develop and execute open source strategy,,,,
,,4,Eliminate friction from using and contributing to open source,,,,
,,5,Establish and improve open source policies and processess,,,,
,,6,Grow and retain open source talent inside the organization,,,,
,,7,Implement InnerSource practices and foster open source culture,,,,
,,8,Manage open source IT infrastructure,,,,
,,9,Oversee open source compliance,,,,
,,10,Prioritize and drive open source upstream development,,,,
,,11,Support the organization's development activities,,,,
,,12,Track performance metrics,,,,
,,13,Other (please explain),,,qualitative responses reviewed before uploading to the public,
,,,,,,,
4,9,,How many employees are part of your open source program or initiative? (select one),,,,9
,,1,0 (no dedicated staff yet),,,,
,,2,1,,,,
,,3,4-Feb,,,,
,,4,9-May,,,,
,,5,10+,,,,
,,6,Don't know,,,,
,,,,,,,
4,10,,"Where is the open source program or initiative located within the organization? If the effort is informal, answer based on who the primary organizers report to.",,,,
,,1,Legal,,,,
,,2,Software engineering and development,,,,
,,3,IT,,,,
,,4,Office of the CTO,,,,
,,5,"Developer relations, marketing or communications",,,,
,,6,"Security, compliance or risk management",,,,
,,7,Don't know,,,,
,,8,Other (please specify),,,qualitative responses reviewed before uploading to the public,
,,,,,,,
4,11,,Does your open source program have an InnerSource team or strategy to drive open source culture within the organization? (select one),,,,
,,1,"Yes, and we are the only stakeholder for the strategy",,,,
,,2,"Yes, and the strategy has multiple stakeholders",,,,
,,3,No,,,,
,,4,Don't know,,,,
,,,,,,,
4,12,,"What percentage of your open source program or initiative's time is spent collaborating with the following departments? (total can equal more than 100%) (select one per row)
[< 20%,  21-40%, 41-60%,  61-80%,  > 80%, Don't know]",,,,11
,,1,Engineering,,,,
,,2,IT,,,,
,,3,Legal,,,,
,,4,Security,,,,
,,5,Upstream open source projects,,,,
,,,,,,,
4,13,,What is your role in the open source program or initiative? (select one),,,,12
,,1,Executive leadership or oversight (program manager reports to me),,,,
,,2,Program manager,,,,
,,3,Legal compliance,,,,
,,4,Engineering compliance,,,,
,,5,Security,,,,
,,6,"Developer relations, advocacy and evangelism",,,,
,,7,Open source developer or engineer (reporting to the open source office),,,,
,,8,Committee member,,,,
,,9,No formal role,,,,
,,10,Other (please specify),,,qualitative responses reviewed before uploading to the public,
,,,,,,,
4,14,,"In light of recent macroeconomic conditions, what is the likelihood that funding for your organization's open source initiatives will increase or decrease in the upcoming fiscal year? (select one)",,,,13
,,1,Very likely to increase,,,,
,,2,Somewhat likely to increase,,,,
,,3,Neutral,,,,
,,4,Somewhat likely to decrease,,,,
,,5,Very likely to decrease,,,,
,,6,Don't know,,,,
,,,,,,,
4,15,,How long ago was the program or initiative established? (select one),,,,14
,,1,0-2 years,,,,
,,2,3-5 years,,,,
,,3,6-10 years,,,,
